year,confID,playoff,firstRound,semis,finals,o_fta,o_3pm,o_oreb,o_asts,o_stl,o_to,o_blk,d_3pa,d_oreb,d_dreb,d_asts,d_stl,d_to,d_blk,attend,tmID,W_post,L_post,FG%_weighted_mean,FT%_weighted_mean,Avg_Assists_Per_Game_weighted_mean,Avg_Blocks_Per_Game_weighted_mean,Durability_Ratio_weighted_mean,POSITION_METRIC_weighted_mean,FG%_sum_top3,FT%_sum_top3,Avg_Assists_Per_Game_sum_top3,Avg_Blocks_Per_Game_sum_top3,Durability_Ratio_sum_top3,POSITION_METRIC_sum_top3,num_trophies
2,0,1,0,,,0.087,0.199,0.262,0.386,0.43,0.157,0.131,0.228,0.169,0.071,0.155,0.187,0.409,0.415,0.445,CLE,1.0,2.0,0.4283880267799457,,1.865406903268945,0.36417251119792016,0.5222497502012228,1.8057860186263586,2.109966777408638,2.3941215106732345,9.230324074074074,1.9583333333333333,2.037128665123457,10.61875,0.0
3,0,0,,,,0.203,0.267,0.252,0.307,0.183,0.188,0.131,0.282,0.062,0.193,0.48,0.3,0.147,0.281,0.454,CLE,,,0.3962832331584869,,1.7700889957303936,0.30311643980442377,0.5130769686396982,1.8901603129583375,1.4452031839128614,2.7035158891142665,7.785897435897436,1.6791666666666667,2.0296440972222225,10.088095238095237,0.0
4,0,1,0,,,0.421,0.33,0.51,0.433,0.21,0.253,0.15,0.089,0.185,0.362,0.412,0.173,0.297,0.474,0.338,CLE,1.0,2.0,0.4032377435045725,,1.8114805090031996,0.3403732790044172,0.5095703601733873,2.288933817967177,1.5076900558457935,2.363032191069574,8.80035650623886,1.695955882352941,1.9445465686274508,12.095588235294116,0.0
4,0,1,1,0,,0.429,0.52,0.433,0.444,0.446,0.114,0.314,0.494,0.556,0.648,0.557,0.367,0.332,0.126,0.222,CON,2.0,2.0,0.41623541603977204,0.7239280620891242,2.276623820967818,0.4214708994133345,0.5677910649262521,1.5935224653914966,1.4784221525600836,2.562747909199522,11.722689075630251,2.3776470588235292,2.2375262605042017,10.16217320261438,0.0
5,0,1,1,1,0,0.293,0.394,0.376,0.621,0.602,0.236,0.216,0.154,0.219,0.503,0.598,0.28,0.394,0.311,0.28,CON,5.0,3.0,0.41975424609364137,0.7564070336845501,2.6577534672166054,0.45933149855872524,0.6644844731373145,1.8042973037070325,1.4716311684494503,2.6404823989569755,12.567362428842504,2.4705882352941173,2.530024509803922,12.119073083778966,1.0
6,0,1,1,1,1,0.53,0.308,0.381,0.625,0.263,0.192,0.438,0.19,0.466,0.426,0.361,0.407,0.201,0.059,0.319,CON,5.0,3.0,0.43362781452155585,,2.553271555824092,0.6017368661011143,0.6488262124175778,1.5457366577343226,1.4863986834387015,2.381473968897904,11.970588235294116,4.297912713472486,2.4918811274509807,8.751106894370652,1.0
7,0,1,1,0,,0.499,0.507,0.476,0.819,0.349,0.463,0.588,0.432,0.579,0.571,0.473,0.507,0.371,0.237,0.34,CON,3.0,2.0,,,2.489645885946614,0.6110028408937905,0.5631318125643884,1.739509463211378,1.4411342323617498,2.8947368421052633,11.313446969696969,4.681985294117648,2.209280303030303,10.011385199240987,1.0
8,0,1,0,,,0.354,0.602,0.533,0.782,0.457,0.576,0.608,0.38,0.393,0.728,0.652,0.327,0.517,0.104,0.386,CON,1.0,2.0,,,2.533492571439429,0.5150187078255455,0.546216840838098,2.098488674064152,1.4594133569358005,2.4598861283643894,12.766968325791856,4.052083333333333,2.203472222222222,11.607575757575757,0.0
9,0,1,0,,,0.615,0.719,0.61,0.741,0.129,0.345,0.222,0.405,0.522,0.722,0.561,0.367,0.421,0.244,0.359,CON,1.0,2.0,0.4060695797874196,,2.199917885462757,0.2871743299385192,0.48860772664634244,2.9353103567919967,1.531900404341349,2.5263213530655393,10.98435972629521,2.0980679661894084,1.9520417648975525,14.159536541889484,0.0
10,0,0,,,,0.54,0.633,0.552,0.744,0.339,0.197,0.438,0.387,0.348,1.0,0.463,0.34,0.614,0.4,0.287,CON,,,0.3903023098064702,0.7341707753604286,1.981411489922801,0.40204658963930034,0.46992782327358695,,1.4071070440286035,2.5616615474623377,9.2230179028133,3.1223776223776225,1.9202980523313005,13.46376811594203,0.0
1,0,0,,,,0.557,0.063,0.471,0.386,0.392,0.533,0.163,0.128,0.36,0.193,0.422,0.58,0.591,0.57,0.246,DET,,,0.43214158066720204,0.7468787985602788,1.6923659048087198,0.2744560548632909,0.4448608036644413,,1.5267720115955208,2.823069403714565,7.741071428571429,1.6589673913043477,1.744140625,11.995535714285714,0.0
2,0,0,,,,0.177,0.367,0.39,0.27,0.204,0.393,0.124,0.056,0.067,0.357,0.169,0.433,0.359,0.281,0.257,DET,,,0.40413057427843385,0.7587744693384215,1.5081102629328598,0.27566383358880225,0.4537781699364539,1.8991400346271803,1.4030562371576196,2.787323943661972,7.457974137931035,1.5883620689655173,1.731711647727273,11.66711956521739,0.0
3,0,0,,,,0.441,0.217,0.562,0.3,0.075,0.581,0.451,0.295,0.264,0.27,0.26,0.533,0.205,0.504,0.181,DET,,,0.3927330104005003,,1.7780366256663964,0.43179122871254894,0.46211821145590487,2.4856973101873368,1.3377842597093934,2.488888888888889,9.651785714285715,2.78125,1.858029513888889,16.625,0.0
4,0,1,1,1,1,1.0,0.285,0.652,0.529,0.409,0.873,0.621,0.506,0.691,0.283,0.392,0.747,0.413,0.43,0.377,DET,6.0,2.0,0.43189796029609784,0.6960959578678361,2.5912206720607873,0.7506888169182114,0.6425765536133495,3.152228761100929,1.4390984880599125,2.4263211382113825,12.977272727272727,4.298852495543672,2.4368489583333335,18.374220142602496,2.0
5,0,1,0,,,0.782,0.0,0.738,0.594,0.484,0.459,0.556,0.488,0.326,0.431,0.429,0.613,0.409,0.444,0.512,DET,1.0,2.0,,,2.1583880177462595,0.5804664785422579,0.535540267156024,2.852282433998785,1.9645360824742268,2.423322821818447,12.885416666666668,3.673802182163188,2.1832490808823533,18.27736647276573,0.0
6,0,1,0,,,0.738,0.063,0.81,0.287,0.29,0.712,0.601,0.315,0.034,0.471,0.287,0.5,0.502,0.481,0.505,DET,0.0,2.0,0.3878148653963774,0.7038998883207466,1.7331131725437379,0.5187597177667914,0.5145728336436294,2.3133373680405303,1.3647573701317215,2.6023952095808385,9.087326466636812,3.7424242424242427,2.1737567987567985,17.864718614718615,0.0
7,0,1,1,1,1,0.671,0.335,0.781,0.621,0.14,0.563,0.484,0.55,0.32,0.511,0.291,0.52,0.448,0.274,0.505,DET,7.0,3.0,0.42054600306453976,,3.284309603778844,0.4720928789177181,0.7912441416719413,2.3046119935570912,1.4255390749765489,2.622891814068285,14.76470588235294,3.5,3.142769607843137,17.951593137254903,2.0
8,0,1,1,1,0,0.765,0.434,0.657,0.59,0.215,0.681,0.353,0.66,0.236,0.563,0.534,0.527,0.537,0.341,0.536,DET,6.0,5.0,0.4121765012773276,,2.681948553394872,0.5436719064895639,0.7150716141647803,3.099614242207376,1.434336744016079,2.4900123432233525,13.158444022770398,3.13921568627451,2.8832516339869283,20.296774193548387,2.0
9,0,1,1,1,1,0.666,0.48,0.776,0.73,0.489,0.384,0.359,0.673,0.32,0.513,0.446,0.213,0.703,0.356,0.521,DET,7.0,2.0,,,2.8331301200390517,0.7552235721438372,0.7154947564953608,,1.5049474335188622,2.9545454545454546,14.42436974789916,4.593073593073593,3.232668067226891,12.060090702947846,1.0
10,0,1,1,0,,0.61,0.412,0.624,0.631,0.398,0.603,0.222,0.662,0.298,0.566,0.459,0.547,0.544,0.289,0.389,DET,3.0,2.0,,,2.1752713147074547,0.3816935905294789,0.54056738610365,,1.7009015824979508,2.78166915052161,10.459558823529411,2.892857142857143,2.22687660922955,10.802681992337165,0.0
1,1,1,1,1,1,0.4,0.498,0.148,0.355,0.522,0.14,0.268,0.23,0.129,0.119,0.287,0.24,0.347,0.104,0.687,HOU,6.0,0.0,0.45799560475889256,0.7976337659077934,2.446125770790711,0.4763702764266281,0.6469264254149261,2.0552829621403617,1.5742089900758902,2.7580149319279754,12.443548387096774,2.5826612903225805,2.622143817204301,11.248557692307692,4.0
2,1,1,0,,,0.169,0.344,0.505,0.123,0.344,0.122,0.209,0.315,0.169,0.312,0.216,0.34,0.166,0.363,0.612,HOU,0.0,2.0,0.3825287227501186,0.7215418689784238,1.8707986504656928,0.3687052231308825,0.5531354653734947,2.6076103194000533,1.351880101753044,2.5406015037593983,9.229166666666666,2.0458333333333334,2.317708333333333,14.0375,1.0
3,1,1,0,,,0.281,0.213,0.271,0.205,0.392,0.205,0.412,0.389,0.236,0.257,0.196,0.433,0.286,0.0,0.65,HOU,1.0,2.0,0.39269682902488995,0.7058176409106803,1.925824320249774,0.4897849439435932,0.5638504799496163,1.858754679150864,1.349451754385965,2.7035819914558,9.078804347826086,2.605603448275862,2.485721982758621,10.449425287356322,2.0
4,1,1,0,,,0.317,0.24,0.114,0.256,0.237,0.183,0.431,0.414,0.174,0.373,0.432,0.2,0.154,0.378,0.459,HOU,1.0,2.0,,,2.5145628432371403,0.573259753239688,0.6480261938383691,1.7368543783165624,1.44836356267099,2.6493506493506493,12.440227703984819,3.880116562754134,2.3676329402728835,9.75638655462185,2.0
5,1,0,,,,0.354,0.276,0.329,0.208,0.296,0.332,0.288,0.266,0.382,0.405,0.51,0.407,0.313,0.43,0.396,HOU,,,0.39627359383561744,0.7456748489883027,1.6076160226345217,0.4154240353922659,0.5137336159980108,1.5172731694509511,1.3778772851750425,2.7786324786324785,7.523719165085389,2.5297766749379655,2.0748294044665014,8.841346153846153,0.0
6,1,1,1,0,,0.535,0.0,0.162,0.263,0.317,0.074,0.275,0.242,0.039,0.317,0.517,0.0,0.351,0.296,0.313,HOU,2.0,3.0,,,2.3231747167040813,0.4481771105941572,0.6458813691410026,,1.612884593886246,3.0,12.624242424242425,2.7575757575757573,2.4814431075460486,10.754545454545454,2.0
7,1,1,0,,,0.506,0.484,0.29,0.485,0.349,0.69,0.137,0.405,0.393,0.582,0.466,0.673,0.498,0.133,0.362,HOU,0.0,2.0,0.44006149952525425,0.7604810862671648,2.21791323554154,0.32613173377385896,0.5658010206841826,,1.544634653513226,2.8217821782178216,11.110373181530678,2.31562302340291,2.2065604198668716,12.716748768472906,4.0
8,1,0,,,,0.61,0.29,0.629,0.573,0.548,0.983,0.301,0.595,0.421,0.407,0.676,0.753,0.687,0.659,0.403,HOU,,,0.4123059167402965,,2.1845689832308373,0.3342762327438506,0.5037704750797118,,1.5774565809777077,3.0,9.766666666666666,2.351043643263757,2.1098856209150325,15.389253061928583,0.0
9,1,0,,,,0.646,0.407,0.638,0.567,0.581,0.834,0.373,0.593,0.461,0.466,0.52,0.773,0.637,0.696,0.269,HOU,,,0.39751063594236663,0.7690428946139525,1.8463424761785756,0.3757181638867745,0.4743914964621733,,1.603215669447354,2.7568108974358974,9.057575757575759,2.5784313725490193,1.9363320707070706,15.309401709401708,0.0
1,0,0,,,,0.242,0.593,0.205,0.379,0.452,0.48,0.412,0.096,0.303,0.175,0.473,0.467,0.332,0.03,0.608,IND,,,,,1.6809643479956091,0.40007797533673545,0.4605343478400629,,2.074331550802139,2.4626503608660784,7.368663793103448,3.1911177027973467,1.8630082325268817,12.694145758661888,0.0
2,0,0,,,,0.295,0.43,0.21,0.232,0.296,0.362,0.359,0.116,0.219,0.246,0.598,0.393,0.293,0.511,0.403,IND,,,0.40767295575311274,0.8014994930598229,1.520884352063501,0.35193012942879276,0.4350325628875158,2.037702890359339,1.429105723635878,2.7487455197132618,7.683333333333334,2.3046353807223374,1.728467399691358,11.431458106072412,0.0
3,0,1,0,,,0.269,0.534,0.348,0.195,0.435,0.131,0.242,0.333,0.118,0.204,0.402,0.193,0.309,0.548,0.383,IND,1.0,2.0,0.3908451082749822,0.7736600913606676,2.3741266333129794,0.3706488909376704,0.587182306674214,2.3735181459664854,1.4456331522603147,2.8160919540229887,12.073863636363637,2.6330645161290325,2.4039417613636362,13.061781609195403,1.0
4,0,0,,,,0.228,0.67,0.438,0.509,0.602,0.288,0.379,0.237,0.236,0.291,0.615,0.2,0.471,0.733,0.417,IND,,,0.3914609138168219,0.7743199231067457,1.8545296790050643,0.4147676966752645,0.47744506324200536,2.555288028009288,1.4341384256768872,2.789351851851852,8.382570806100219,2.3529411764705883,1.901143790849673,14.02056277056277,0.0
5,0,0,,,,0.269,0.471,0.733,0.563,0.398,0.341,0.464,0.083,0.079,0.32,0.426,0.473,0.293,0.674,0.354,IND,,,0.38044341780425317,0.7574787711697291,1.944008705840156,0.44746782799630797,0.48106210246293224,2.601407386466406,1.3381274845926234,2.5644589000591367,8.863636363636363,2.7628676470588234,1.9613970588235294,14.071301247771837,1.0
6,0,1,1,0,,0.305,0.398,0.471,0.352,0.801,0.301,0.209,0.116,0.067,0.381,0.159,0.247,0.649,0.311,0.421,IND,2.0,2.0,0.3952076872616489,,2.031344867566757,0.29639624506797596,0.5545723599488129,2.6161422825800233,1.287275471384263,2.490880964012376,10.082542694497153,1.7352941176470589,2.2403146742567994,13.674688057040997,1.0
7,0,1,0,,,0.501,0.493,0.462,0.379,0.898,0.524,0.196,0.289,0.118,0.545,0.402,0.413,0.876,0.252,0.323,IND,0.0,2.0,0.40270266928977266,0.7390553329326373,1.9247318097167905,0.3787362759521539,0.5395891692589627,3.1800021290441873,1.4895076400679117,2.654783125371361,8.643382352941178,2.0661764705882355,2.080154718137255,18.02941176470588,2.0
8,0,1,1,0,,0.358,0.57,0.471,0.413,0.651,0.79,0.477,0.376,0.573,0.603,0.294,0.553,0.849,0.319,0.378,IND,3.0,3.0,0.4103279064331441,0.7920465237438199,2.287559334277453,0.560525817132436,0.5773551169686729,2.9560788385132777,1.433167701863354,2.8173076923076925,11.042016806722689,3.6904761904761907,2.2028478057889824,18.029411764705884,1.0
9,0,1,0,,,0.453,0.742,0.51,0.375,0.737,0.773,0.667,0.224,0.399,0.704,0.301,0.647,0.842,0.437,0.364,IND,1.0,2.0,0.3895017811823282,,1.9216177009456756,0.5548673360636736,0.5363863175139036,2.4311059257130765,1.421875,2.684729064039409,9.94909090909091,3.6969696969696972,2.1521464646464645,15.955324675324675,1.0
10,0,1,1,1,0,0.671,0.683,0.476,0.468,1.0,0.537,0.353,0.376,0.287,0.746,0.372,0.493,0.958,0.333,0.384,IND,6.0,4.0,0.412760308424229,,2.3833195054454803,0.6075338712848485,0.6385174358027306,,1.6375,2.756108805901337,12.208728652751423,3.7559912854030504,2.596200980392157,15.079656862745098,1.0
1,1,1,1,0,,0.542,0.398,0.314,0.669,0.452,0.253,0.608,0.219,0.185,0.294,0.193,0.307,0.367,0.252,0.235,LAS,2.0,2.0,0.44328731766515583,0.7658911850828468,2.5065502629653627,0.7197813777721546,0.5709482404459378,2.3199326376548317,1.658008658008658,2.507469663881821,11.362903225806452,4.125,2.1888020833333335,11.672238372093023,0.0
2,1,1,1,1,1,0.303,0.443,0.514,0.703,0.505,0.131,0.49,0.644,0.152,0.159,0.507,0.247,0.243,0.319,0.45,LAS,6.0,1.0,0.4407225947390894,0.7494825625802941,3.1292281833546856,0.8878179336087326,0.6795451572267903,1.989324935092379,1.533916159499817,2.6469307200217775,13.864070197044335,5.116215437788019,2.5031624092907463,10.435795454545454,3.0
3,1,1,1,1,1,0.426,0.597,0.414,0.659,0.376,0.476,0.641,0.461,0.264,0.206,0.405,0.52,0.243,0.296,0.639,LAS,6.0,0.0,0.44054825711910933,,2.7898516679437253,0.857680304393602,0.6342067306465591,,1.601277570444089,2.4330797101449275,14.033333333333333,5.139112903225806,2.4572552643369177,11.705309139784946,2.0
4,1,1,1,1,0,0.506,0.507,0.448,0.672,0.296,0.271,0.641,0.503,0.275,0.587,0.622,0.293,0.301,0.415,0.498,LAS,5.0,4.0,0.3816915893592205,,2.8563603607584502,1.051679977773885,0.7127990815560508,,1.4320420851267337,2.6398264462809915,15.534436274509805,6.698457223001403,2.9136317593891228,12.550190342616709,1.0
5,1,1,0,,,0.613,0.43,0.333,0.805,0.403,0.528,0.556,0.438,0.404,0.423,0.486,0.607,0.514,0.319,0.593,LAS,1.0,2.0,0.42429267045169566,,2.482115875397757,0.6210987670192565,0.566550675929802,2.0098756449014012,1.9649155305275636,2.4059611394076588,13.082009013282732,4.127833816039149,2.223493833017078,10.736842105263158,2.0
6,1,1,0,,,0.39,0.281,0.376,0.549,0.414,0.367,0.477,0.456,0.365,0.376,0.605,0.333,0.595,0.326,0.461,LAS,0.0,2.0,0.41044450192943094,,2.1898889134543995,0.49244476161949385,0.5254400558664012,2.462682789821168,1.6766666666666667,2.500877192982456,10.397879726053102,3.317569073083779,2.179761039184414,13.463458110516935,0.0
7,1,1,1,0,,0.622,0.222,0.514,0.751,0.586,0.55,0.431,0.57,0.388,0.474,0.598,0.58,0.641,0.422,0.415,LAS,2.0,3.0,0.41515984603235817,,2.1577296152367804,0.5081785216640444,0.4991540642817477,1.8713499640454532,1.4600600059839763,2.6467644084934276,11.622426470588236,3.4025054466230937,2.0094914215686277,11.938823529411764,3.0
8,1,0,,,,0.383,0.443,0.543,0.56,0.312,0.712,0.288,0.497,0.427,0.712,0.77,0.62,0.618,0.489,0.447,LAS,,,0.4068964433807096,,1.838850349801552,0.35794095005654736,0.4467740737308808,1.6889174892393417,1.4632722287227127,2.5892857142857144,9.178921568627452,2.217816091954023,1.7823064570655847,11.1239651416122,0.0
9,1,1,1,0,,0.6,0.403,0.686,0.761,0.344,0.873,1.0,0.519,0.517,0.532,0.422,0.707,0.514,0.519,0.516,LAS,3.0,3.0,0.39183272560500076,,2.372841369610462,0.9572054663186628,0.5449246072860744,3.2224430737235683,1.452761287703268,2.8616541353383456,12.275058275058274,6.83088954056696,2.4493931247963507,18.746823069403714,3.0
10,1,1,1,0,,0.196,0.407,0.586,0.672,0.161,0.699,0.673,0.718,0.298,0.431,0.432,0.687,0.282,0.326,0.59,LAS,3.0,3.0,0.4280231344025276,0.790694749516233,2.543657852381632,0.8963452797104853,0.6539891086906894,3.8859981317403753,1.4573799974023773,2.6449799947067705,9.901176470588236,5.266086956521739,2.491252228163993,20.370516934046346,0.0
1,0,0,,,,0.472,0.104,0.586,0.085,0.457,0.507,0.163,0.0,0.045,0.214,0.095,0.333,0.533,0.348,0.348,MIA,,,0.3604541291408453,0.6743084866064332,1.344961193554763,0.2781712913303653,0.4332153512414822,0.9496432485078485,1.2742724112577555,2.440892857142857,6.754032258064516,2.054959677419355,1.7416414650537635,6.9195652173913045,0.0
2,0,1,0,,,0.0,0.14,0.238,0.263,0.608,0.175,0.588,0.179,0.191,0.265,0.0,0.413,0.471,0.119,0.417,MIA,1.0,2.0,,0.7550985894599963,1.9245868432723219,0.5802034483085053,0.5539254879111367,1.9548187407395454,1.4523718803581636,2.902439024390244,9.476293103448276,3.90625,2.18359375,11.523371848739496,1.0
3,0,0,,,,0.145,0.303,0.257,0.294,0.468,0.118,0.216,0.15,0.062,0.333,0.196,0.167,0.483,0.244,0.415,MIA,,,0.41089010518285224,,1.6542849218538185,0.3018396663219151,0.44863858776011306,1.4632543686059236,1.540330349886708,2.6687216093445816,8.875,2.5930521091811416,1.82216061827957,10.365788375973302,0.0
1,1,0,,,,0.298,0.643,0.076,0.358,0.269,0.389,0.0,0.371,0.185,0.291,0.284,0.52,0.606,0.437,0.293,MIN,,,,,1.8308255668269764,0.2179717559795137,0.4978369698443079,,1.3775191078429878,2.424126984126984,7.46875,1.4020833333333333,1.967447916666667,12.290178571428571,1.0
2,1,0,,,,0.625,0.516,0.314,0.16,0.124,0.432,0.418,0.351,0.343,0.32,0.416,0.413,0.309,0.407,0.312,MIN,,,0.3730005888572304,0.7686828861930985,1.594693500545363,0.30848848112249916,0.4826770959979412,1.9135057179114818,1.250534848182845,2.8445454545454547,7.96875,1.9134615384615383,1.9454627403846152,13.133167907361457,0.0
3,1,0,,,,0.264,0.471,0.319,0.259,0.21,0.528,0.255,0.166,0.197,0.119,0.361,0.507,0.29,0.341,0.408,MIN,,,0.3722543822620838,0.650341953782469,1.9458388457921247,0.2885534078449507,0.48535306159116265,1.259652135758748,1.4383141762452107,2.5203847576766556,8.748387096774193,1.7258064516129032,1.960926921545201,8.335978835978835,0.0
4,1,1,0,,,0.375,0.534,0.567,0.648,0.296,0.655,0.248,0.293,0.393,0.225,0.473,0.493,0.313,0.407,0.311,MIN,1.0,2.0,0.4080300365815515,,2.3529718094312075,0.3352513501313027,0.5151473235006414,,1.4287168095276863,2.679325513196481,10.601960784313727,2.1764182424916574,2.0268382352941177,7.5116710875331565,0.0
5,1,1,0,,,0.414,0.52,0.429,0.464,0.376,0.895,0.497,0.034,0.315,0.386,0.405,0.907,0.432,0.459,0.335,MIN,0.0,2.0,0.378595353501005,0.7186081426083104,1.8231037789984856,0.4617567694891621,0.4712452832555561,1.3399729403320917,1.3486105819185141,2.7740825688073394,8.218980082151438,3.115587927961153,1.8947022979152135,7.729055258467024,1.0
6,1,0,,,,0.32,0.498,0.324,0.481,0.382,0.559,0.418,0.136,0.433,0.381,0.503,0.52,0.375,0.541,0.277,MIN,,,0.36614755059689985,,1.8630340184651584,0.3851437820876,0.4652463674228814,,1.388252561298492,2.4020865936358895,8.475703324808185,3.173940543959519,1.9152866581415173,8.792220113851993,0.0
7,1,0,,,,0.513,0.389,0.467,0.345,0.032,0.533,0.327,0.508,0.59,0.701,0.801,0.74,0.185,0.393,0.257,MIN,,,0.418266113680562,0.7340949691973585,1.6829264153408563,0.3489513284887368,0.4588776667696059,2.173459505732787,1.4648373571380269,2.721531100478469,7.8190730837789655,2.598039215686274,1.7862076648841354,10.306595365418895,1.0
8,1,0,,,,0.496,0.457,0.738,0.703,0.274,0.668,0.209,0.327,0.287,0.616,0.598,0.547,0.537,0.563,0.314,MIN,,,0.37499941134609543,0.7666957425599774,2.0985165049096457,0.3253323911022229,0.4745563970623029,2.344132580842618,1.4090050498655031,2.720658456898718,10.752941176470587,1.5882352941176472,1.861764705882353,12.0,0.0
9,1,0,,,,0.956,0.321,0.529,0.57,0.656,0.279,0.444,0.383,0.466,0.78,0.672,0.34,0.73,0.511,0.302,MIN,,,,,1.8120514440363356,0.37286983031100557,0.4542042787447754,,1.4612834882449426,2.5404227250566405,8.844086021505376,2.3784313725490196,1.8362165296226018,10.30987292277615,1.0
