firstseason,lastseason,num_seasons,bioID,pos,height,weight,college,collegeOther,birthDate,deathDate
10,10,1,boddiwh01w,G,69.0,149,Auburn,,1987-01-23,
1,5,5,boltoru01w,G,69.0,150,Auburn,,1967-05-25,
7,9,3,bondla01w,G,67.0,132,Missouri,,1984-02-13,
3,3,1,bonfisu01w,G,68.0,145,,,1974-09-08,
10,10,1,bonnede01w,G,76.0,136,Auburn,,1987-08-21,
8,8,1,bowenli01w,G,67.0,145,Michigan State,,1983-10-25,
2,2,1,boydca01w,F,73.0,172,,,1975-10-31,
6,10,5,braxtka01w,F-C,78.0,210,Georgia,,1983-02-18,
1,2,2,brazian01w,F,74.0,169,Texas Tech,,1976-09-18,
2,2,1,bristre01w,G,70.0,139,Arizona,,1978-02-10,
1,1,1,brogami01w,F,73.0,177,,,1973-02-08,
2,4,3,brondsa01w,G,67.0,136,U. Western Sydney,,1968-08-20,
4,7,4,brownco01w,G,69.0,150,North Carolina,,1980-10-21,
1,7,7,browned01w,G-F,69.0,163,Texas,,1978-07-01,
3,10,8,brownki01w,G,70.0,134,Georgia,,1979-01-13,
1,4,4,brownru01w,F,74.0,175,Furman,,1972-05-05,
1,4,4,brumfma01w,G,68.0,133,Rice,,1978-06-06,
5,7,3,brungje01w,F,73.0,165,Penn State,,1982-04-16,
5,10,6,brunsre01w,F,75.0,175,Georgetown,,1981-12-11,
1,3,3,bullevi01w,F,75.0,185,Maryland,,1967-10-04,
2,4,3,burgean01w,G,67.0,141,,,1969-04-10,
1,1,1,burgeli01w,F,73.0,173,Alabama,,1969-07-27,
1,4,4,burraal01w,C,75.0,218,Louisiana Tech,,1975-06-23,
2,10,9,burseja01w,C,77.0,199,Tulane,,1979-05-19,
5,5,1,buttsta01w,G,71.0,160,Tennessee,,1982-03-10,
1,9,9,byearla01w,G-F,71.0,206,DePaul,NE Oklahoma A&M (JC),1973-08-12,
1,6,6,campbed01w,G,68.0,152,Texas,,1968-11-26,
1,1,1,campbmi01w,F-C,77.0,170,USC,,1974-02-20,
1,10,10,cantydo01w,G-F,69.0,162,Alabama,,1977-03-02,
6,9,4,careyja01w,G,66.0,135,Texas,,1981-03-12,
9,10,2,carsoes01w,G-F,72.0,165,Rutgers,,1986-07-28,
5,6,2,carteam01w,F,74.0,185,Louisiana State,,1982-06-21,
3,10,8,cashsw01w,F,73.0,162,Connecticut,,1979-09-22,
1,1,1,cassija01w,C,75.0,187,Maine,,1978-09-12,
3,10,8,castriz01w,G-F,72.0,140,,,1982-03-13,
3,10,8,catchta01w,F,73.0,167,Tennessee,,1979-07-21,
3,3,1,caufila01w,G,69.0,159,Oklahoma,,1980-05-25,
8,8,1,chambco01w,G,69.0,160,Georgia,,1985-07-06,
9,9,1,chanequ01w,G,71.0,160,Louisiana State,,1986-04-14,
3,3,1,chapmji01w,C,75.0,206,Indiana,,1979-11-04,
5,7,3,choneka01w,C,75.0,180,North Carolina State,,1981-01-11,
3,8,6,chriska01w,F,74.0,171,UC Santa Barbara,,1980-11-16,
5,10,6,chrissh01w,F,73.0,170,Arkansas,,1982-02-15,
10,10,1,cironkr01w,G,68.0,150,Illinois State,,1987-05-19,
1,2,2,clearmi01w,G,66.0,126,Australian Institute of Sport,,1974-07-16,
1,3,3,clinest01w,G,65.0,148,UC Santa Barbara,,1978-04-22,
8,8,1,coggicl01w,G,71.0,170,Kansas State,,1985-05-19,
5,5,1,cokermo01w,F,73.0,180,Old Dominion,,1982-11-28,
4,4,1,colemco01w,F,72.0,170,Ohio State,,1981-04-13,
10,10,1,colemma01w,G-F,73.0,160,Maryland,,1987-01-04,
1,2,2,colleka01w,G-F,70.0,145,Maryland,,1971-03-17,
2,2,1,consuca01w,G,68.0,144,Iowa,,1979-03-04,
2,3,2,coopeca01w,C,76.0,176,Purdue,,1979-02-05,
1,4,4,coopecy01w,G,70.0,150,USC,,1963-04-14,
1,4,4,crawlsy01w,F-C,77.0,187,North Carolina,,1972-09-27,
3,3,1,crockda01w,F,73.0,158,Baylor,,1981-02-11,
9,9,1,crockwi01w,F,74.0,215,Connecticut,,1984-07-05,
7,7,1,cronika01w,G,72.0,155,Colorado State,,1977-09-08,
1,1,1,cunnibe01w,G,72.0,163,Notre Dame,,1975-06-05,
3,3,1,cunnida01w,F,72.0,187,Rutgers,,1980-01-27,
7,10,4,currimo01w,F,72.0,177,Duke,,1983-02-25,
4,6,3,curryed01w,G,64.0,138,Oregon,,1979-07-09,
3,8,6,dalesst01w,G-F,72.0,155,Oklahoma,,1979-09-05,
1,4,4,daleygr01w,G,66.0,147,Tulane,,1978-06-26,
1,10,10,darlihe01w,G,66.0,164,Penn State,,1978-08-29,
8,10,3,davenje01w,C,77.0,215,Ohio State,,1985-06-24,
7,7,1,davisbr01w,G,72.0,172,Oregon,,1983-01-01,
8,8,1,davisde01w,G,67.0,138,Vanderbilt,,1984-11-08,
10,10,1,davista02w,G,71.0,,Florida State,,1987-06-07,
1,10,10,deforan01w,G,70.0,160,Nebraska,,1976-04-14,
5,9,5,derevje01w,G,70.0,140,George Mason,,1982-03-29,
3,10,8,desouer01w,F-C,77.0,190,,,1982-03-03,
1,2,2,dickeke01w,F,71.0,165,Texas Tech,,1978-04-20,
4,6,3,dillata01w,G,69.0,154,Texas,,1981-05-06,
1,10,10,dixonta01w,G,69.0,148,Kansas,,1975-12-14,
4,5,2,donapbe01w,F-C,74.0,195,Stanford,,1980-08-27,
8,8,1,doronsh01w,G,69.0,145,Maryland,,1985-04-01,
1,3,3,dossaci01w,C,77.0,187,,,1975-01-31,
2,10,9,douglka01w,G-F,72.0,167,Purdue,,1979-05-07,
7,9,3,duffyme01w,G,67.0,135,Notre Dame,,1984-07-13,
7,10,4,dupreca01w,F,74.0,162,Temple,,1984-08-16,
1,9,9,dydekma01w,C,9.0,223,,,1974-04-28,2011-05-27
1,2,2,edwarmi01w,G,69.0,150,Rutgers,,1966-03-06,
1,6,6,edwarsi01w,C,76.0,164,Iowa,,1973-11-17,
4,5,2,edwarte01w,G-F,71.0,155,Georgia,,1964-07-09,
1,3,3,edwarto01w,G,70.0,160,Tennessee,,1968-03-13,
6,10,5,elysh01w,F,74.0,182,Tennessee,,1983-08-09,
1,4,4,enissh01w,F-C,73.0,185,Alabama,,1974-12-03,
1,3,3,erbsu01w,C,78.0,240,North Carolina State,,1977-07-25,
10,10,1,ervinla01w,F,76.0,171,Arkansas,,1985-03-24,
2,2,1,fallotr01w,G-F,75.0,165,,,1972-07-23,
1,10,10,farriba01w,F-C,75.0,200,Tulane,,1976-09-10,
1,9,9,feastal01w,F,71.0,168,Harvard,,1976-02-11,
6,6,1,feifesu01w,G,73.0,162,,,1979-01-29,
2,10,9,ferdima01w,G,69.0,153,Louisiana State,,1978-10-13,
8,8,1,fernama01w,G,71.0,138,,,1981-12-21,
1,1,1,ferrama01w,F,75.0,190,,,1972-02-11,
1,4,4,figgsuk01w,G,69.0,142,Purdue,,1977-03-31,
1,1,1,firsool01w,C,78.0,215,Kansas State,,1976-04-23,
1,1,1,floremi01w,G,66.0,125,Stanford,,1977-10-19,
7,9,3,flukety01w,C,77.0,209,Tennessee,,1984-12-27,
1,3,3,folklkr01w,F,74.0,190,Stanford,,1975-12-19,
4,10,7,fordch01w,F,75.0,198,Louisiana Tech,,1981-06-06,
1,2,2,fordki01w,G-F,70.0,153,Georgia Tech,,1975-04-04,
2,3,2,fordst01w,F,74.0,185,Georgia,,1969-01-14,
9,10,2,fowlesy01w,C,78.0,200,Louisiana State,,1985-10-06,
1,1,1,francde01w,F,70.0,193,Iowa State,,1975-08-24,
9,10,2,frankaq01w,G,64.0,154,Texas A&M,,1985-09-29,
10,10,1,frazeme01w,F,75.0,191,Liberty,,1987-03-29,
1,1,1,fresest01w,G,68.0,126,Iowa State,,1976-09-23,
1,6,6,frettla01w,F,75.0,170,Georgia,,1975-06-12,
5,5,1,friertr01w,F,74.0,186,Louisiana Tech,,1979-08-23,
3,8,6,frohlli01w,F-C,75.0,185,,,1979-06-23,
5,5,1,futreca01w,G,70.0,154,Duquesne,,1982-07-10,
1,3,3,gaithka01w,C,75.0,170,Notre Dame,,1975-08-13,
3,3,1,garcibe01w,G,65.0,135,,,1976-09-03,
9,10,2,gardike01w,F,73.0,168,Virginia Tech,,1984-05-19,
3,9,7,gardnan01w,F-C,75.0,190,Howard,,1979-12-23,
1,1,1,garnean01w,F-C,75.0,160,Penn State,,1979-01-05,
1,1,1,gaydeco01w,G,69.0,150,Louisiana State,,1971-05-11,
8,10,3,gearlka01w,G-F,73.0,184,Purdue,,1984-10-26,
1,4,4,gibsoke01w,G-F,70.0,136,Maryland,,1976-11-10,
1,4,4,gilloje01w,F-C,75.0,180,Mississippi,,1964-06-13,
1,1,1,gilmous01w,G,71.0,158,Rutgers,,1978-08-24,
9,9,1,gisseka01w,F,73.0,178,Penn State,North Carolina State,1985-07-27,
9,9,1,givench01w,G,70.0,,Middle Tennessee State,,1985-07-26,
7,7,1,gomisem01w,G,71.0,134,,,1983-10-18,
1,6,6,goodsad01w,F,72.0,165,Old Dominion,,1966-10-19,
8,8,1,goringi01w,C,79.0,225,North Carolina State (jr-sr),Arkansas-Fort Smith (fr-so),1983-06-07,
3,7,5,gortmsh01w,G,70.0,158,South Carolina,,1979-12-07,
8,8,1,granter01w,G,68.0,125,Texas Tech,,1984-06-13,
5,5,1,grecomi01w,G,69.0,145,UCLA,,1980-03-24,
7,7,1,greenci01w,C,77.0,183,Texas Tech,,1983-04-04,
1,3,3,grginve01w,F,73.0,160,,,1975-01-13,
1,10,10,griffyo01w,F-C,75.0,188,Florida Atlantic,,1970-03-01,
1,5,5,groomla01w,G-F,70.0,160,Georgia,,1970-09-12,
1,6,6,grubigo01w,G,71.0,165,,,1972-08-20,
9,10,2,grudasa01w,F-C,76.0,185,,,1987-06-25,
8,8,1,hairska01w,F,72.0,150,Temple,,1985-08-18,
3,3,1,hallam01w,F,75.0,180,Washington,,1977-12-29,
1,3,3,hallvi01w,F,73.0,180,Texas,,1969-10-03,
1,10,10,hammobe01w,G,66.0,136,Colorado State,,1977-03-11,
1,1,1,hamzoro01w,G,69.0,152,,,1970-08-17,
8,10,3,hardili01w,G,68.0,139,Duke,,1984-06-12,
9,10,2,harpela01w,F-C,77.0,190,Maryland,,1986-04-11,
1,1,1,harrido01w,F,75.0,190,Old Dominion,,1966-09-29,
1,6,6,harrili01w,F,73.0,164,Tennessee,,1971-01-02,
2,10,9,harrokr01w,G,64.0,139,,,1975-03-04,
5,10,6,haydeva01w,C,76.0,240,Florida,,1982-06-05,
6,10,5,haynikr01w,G,69.0,147,Michigan State,,1983-06-17,
1,1,1,headde01w,G,70.0,160,Tennessee,,1970-08-16,
2,2,1,hendene01w,G,68.0,144,Texas,,1973-02-28,
3,4,2,hendetr01w,C,75.0,200,Georgia,,1974-12-31,
1,4,4,henniso01w,G,67.0,143,Stanford,,1969-10-04,
1,3,3,herriam01w,C,76.0,189,Iowa,,1977-06-06,
1,1,1,hibbeka01w,G-F,70.0,140,Louisiana State,,1977-09-29,
1,5,5,hicksje01w,F-C,76.0,188,Maryland,,1971-12-02,
1,2,2,hillec01w,G,67.0,173,Northern Illinois,,1971-04-06,
1,3,3,hledeko01w,G,69.0,150,Duquesne,,1975-03-29,
5,9,5,hodgedo01w,G,69.0,160,Louisiana State,,1982-07-19,
6,10,5,hodgero01w,G,71.0,165,Florida State,,1982-07-19,
5,10,6,hoffmeb01w,F,74.0,215,USC,,1982-08-27,
1,10,10,holdsch01w,F,74.0,172,Tennessee,,1977-08-09,
1,7,7,hollake01w,G,68.0,129,Georgia,,1974-11-05,
10,10,1,holliqu01w,C,77.0,201,Virginia Commonwealth,,1988-11-15,
1,1,1,holmejo01w,F,70.0,150,Purdue,,1969-03-31,
9,9,1,holmese01w,G-F,73.0,155,UNLV,,1986-06-13,
9,10,2,holtam01w,F,72.0,168,Middle Tennessee State,,1985-06-07,
1,1,1,hopeky01w,C,74.0,165,Miami (FL),,1977-11-23,
9,10,2,hornbal01w,G,71.0,155,Tennessee,,1985-10-16,
9,10,2,houstch01w,F,72.0,189,Connecticut,,1986-04-10,
9,10,2,humphta01w,C,75.0,190,Georgia,,1985-12-29,
6,9,4,irvinsa01w,F,75.0,185,Texas Christian,,1982-02-23,
1,7,7,ivanyda01w,G,70.0,135,Florida International,,1976-03-18,
2,6,5,iveyni01w,G,67.0,149,Notre Dame,,1977-09-24,
3,7,5,jacksde01w,F,74.0,155,Alabama-Birmingham,,1979-12-15,
4,6,3,jacksgw01w,F,75.0,182,Tennessee,,1980-10-23,
2,10,9,jacksla01w,F-C,77.0,187,,,1981-05-11,
1,3,3,jacksta01w,F-C,75.0,179,Florida,,1962-12-03,
1,7,7,jacksta02w,G,66.0,118,Louisiana Tech,,1978-04-22,
8,10,3,jacksti02w,F,75.0,185,Texas,,1985-04-26,
5,9,5,jacobam01w,G,68.0,152,Boston College,,1982-06-29,
7,8,2,jamesta01w,F,69.0,158,Miami (FL),,1984-06-13,
10,10,1,januabr01w,G,68.0,144,Arizona State,,1987-01-11,
10,10,1,jekaban01w,G,69.0,180,,,1983-08-12,
8,9,2,joensca01w,G-F,71.0,165,George Washington,,1981-02-12,
1,4,4,johnsad01w,G,70.0,154,Ohio State,,1974-02-05,
4,4,1,johnsch01w,C,75.0,185,Wisconsin-Green Bay,,1981-03-19,
2,2,1,johnsja01w,F,72.0,201,Kansas,,1979-03-16,
1,5,5,johnsla01w,F,73.0,150,Memphis,,1975-08-17,
1,1,1,johnsni01w,G,69.0,146,Alabama,,1973-02-07,
1,5,5,johnspo01w,C,75.0,165,Michigan,,1975-11-06,
1,10,10,johnssh01w,G,67.0,152,South Carolina,,1974-08-18,
6,10,5,johnste01w,G,63.0,132,Louisiana State,,1982-09-06,
1,7,7,johnsti01w,C,76.0,240,Tennessee,,1975-12-27,
1,10,10,johnsvi01w,G-F,69.0,150,Louisiana Tech,,1972-04-15,
3,10,8,jonesas01w,F,74.0,196,Connecticut,,1980-08-01,
5,7,3,jonesch01w,G-F,69.0,150,Houston,,1982-03-25,
1,1,1,jonesja01w,G,69.0,158,UNC Charlotte,,1978-09-13,
1,1,1,jonesla01w,G,73.0,180,Ohio State,,1977-07-24,
1,5,5,jonesme01w,G,69.0,147,Florida,,1973-07-21,
9,10,2,kellycr01w,F,74.0,190,Western Kentucky,,1986-09-15,
6,6,1,kingbsu01w,G,67.0,135,Stanford,,1981-07-27,
2,7,6,kingija01w,G,68.0,150,,,1976-01-20,
3,4,2,klimezu01w,F,74.0,181,Vanderbilt,,1979-01-21,
6,9,4,koehnla01w,G,68.0,145,Kansas State,,1982-05-13,
2,2,1,korstil01w,G,70.0,160,,,1980-05-30,
7,7,1,kostaan01w,G,67.0,137,,,1978-03-26,
1,1,1,kostita01w,F,73.0,163,Oregon State,,1972-11-10,
6,10,5,kraayca01w,F,76.0,180,Oregon,,1981-09-30,
1,2,2,kubikni01w,G,69.0,145,Nebraska,,1978-03-01,
7,10,4,lacyje01w,F,75.0,175,Pepperdine,,1983-03-21,
1,1,1,lacyve01w,C,76.0,234,Louisiana Tech,,1967-02-09,
3,6,4,lambesh01w,G,67.0,125,Baylor,Grayson County (JC),1980-07-21,
1,1,1,lambmo01w,C,77.0,206,USC,,1964-10-11,
9,10,2,langhcr01w,F-C,74.0,184,Maryland,,1986-10-27,
9,10,2,larkier01w,F,73.0,210,North Carolina,,1986-04-02,
2,7,6,lassiam01w,F,73.0,160,Missouri,,1979-06-09,
8,10,3,lattaiv01w,G,66.0,143,North Carolina,,1984-09-24,
6,10,5,lawsoed01w,G,66.0,130,,,1979-05-14,
4,10,7,lawsoka01w,G,69.0,165,Tennessee,,1981-02-14,
2,2,1,lazicka01w,F-C,70.0,147,,,1980-05-25,
10,10,1,lehnish01w,G,69.0,147,Kansas State,,1986-10-27,
1,10,10,lennobe01w,G,68.0,143,Louisiana Tech,,1976-12-04,
1,10,10,leslili01w,C,77.0,170,USC,,1972-07-07,
7,8,2,leuchye01w,C,77.0,195,West Virginia,,1983-04-30,
2,2,1,levanni01w,G,68.0,163,Xavier,,1979-05-17,
3,3,1,lewista01w,F-C,74.0,212,Louisiana Tech,,1979-07-10,
2,7,6,lewisty01w,G,70.0,152,North Carolina State,,1979-05-08,
9,9,1,liebena01w,G,70.0,150,Old Dominion,,1958-07-01,
8,10,3,littlca01w,F,74.0,180,North Carolina,,1985-01-18,
1,1,1,lloydan01w,F,74.0,175,Texas,,1965-02-09,
2,4,3,lobore01w,F,76.0,190,Connecticut,,1973-10-06,
1,9,9,lovelst01w,F,76.0,170,Purdue,,1974-12-05,
2,2,1,luckepa01w,F,73.0,165,Houston,,1975-05-14,
2,4,3,luzhe01w,G,68.0,144,,,1972-11-23,
6,10,5,lyttlsa01w,F,76.0,175,Houston,,1983-09-20,
1,9,9,mabikmw01w,G-F,71.0,165,,,1976-07-27,
5,6,2,macchla01w,F,73.0,169,,,1979-05-24,
1,3,3,machacl01w,F-C,77.0,180,Old Dominion,,1976-10-04,
7,8,2,mahonme01w,F,72.0,160,Kansas State,,1983-02-13,
1,3,3,mahonsh01w,F,76.0,178,Western Kentucky,,1977-07-03,
3,10,8,maigaha01w,G-F,73.0,160,Old Dominion,,1978-04-25,
2,3,2,malcona01w,F,73.0,170,Providence,,1975-11-27,
4,4,1,malloso01w,C,77.0,210,Georgia Tech,,1981-09-02,
8,8,1,maltsev01w,G,71.0,165,,,1978-12-20,
1,1,1,mannish01w,F-C,75.0,186,North Carolina State,,1969-03-20,
6,10,5,mannkr01w,F,73.0,185,UC Santa Barbara,,1983-08-10,
1,4,4,mapprh01w,C,74.0,190,North Carolina State,,1969-10-13,
1,3,3,marcimi01w,G,70.0,154,Tennessee,,1973-10-29,
1,2,2,martima01w,F,76.0,172,UCLA,,1978-04-17,
6,6,1,martinu01w,G,69.0,167,,,1984-02-29,
5,9,5,mascira01w,F,72.0,169,,,1980-09-30,
6,6,1,matteca01w,G,69.0,167,Ohio State,,1982-08-22,
1,3,3,maxwemo01w,F,69.0,162,Louisiana Tech,,1976-12-21,
5,10,6,mazzake01w,G,72.0,155,Penn State,,1982-02-02,
3,3,1,mccaibr01w,G,63.0,135,Florida,,1979-09-21,
1,3,3,mccaiti01w,G-F,70.0,167,Kentucky,,1976-10-06,
10,10,1,mccanra01w,F,73.0,161,North Carolina,,1986-11-17,
6,10,5,mccarja01w,C,74.0,205,Minnesota,,1982-11-03,
1,5,5,mccarst01w,G-F,69.0,155,Purdue,,1977-06-20,
1,1,1,mcconsu01w,G,65.0,125,Penn State,,1966-07-29,
10,10,1,mccouan01w,F,73.0,160,Louisville,,1986-09-10,
1,7,7,mccrani01w,G,71.0,158,Tennessee,,1971-12-11,
1,4,4,mccrini01w,G,68.0,125,USC,,1972-03-22,
1,4,4,mcculda01w,F-C,75.0,180,Western Kentucky,,1975-01-18,
1,3,3,mcgheca01w,F-C,73.0,179,Tennessee,,1968-03-06,
4,8,5,mckivte01w,F-C,75.0,220,Tulane,,1980-10-05,
1,10,10,mcwilta01w,F-C,74.0,188,St. Edwards,,1970-10-20,
1,10,10,melvich01w,F-C,75.0,185,North Carolina State,,1976-05-03,
5,5,1,mendigi01w,G,71.0,174,Washington,,1982-01-09,
6,6,1,miaomi01w,G,71.0,153,,,1981-06-03,
10,10,1,millebr01w,C,76.0,,Florida State,,1987-08-10,
2,10,9,milleco01w,G,69.0,140,Georgia,,1978-09-06,
2,10,9,milleke01w,G,70.0,140,Georgia,,1978-09-06,
1,8,8,millsta01w,C,75.0,232,Alabama,,1976-02-29,
1,10,10,miltode01w,F,73.0,185,Florida,,1974-09-11,
9,10,2,mitchle01w,G,65.0,130,Utah,,1985-06-15,
7,8,2,moeggli01w,F,73.0,195,Michigan State,,1984-05-25,
2,8,7,moisead01w,G,66.0,140,,,1978-12-06,
10,10,1,montaan01w,F,73.0,190,George Washington,,1980-10-24,
10,10,1,montgre01w,G,67.0,139,Connecticut,,1986-12-02,
3,3,1,mooreja01w,C,73.0,207,Long Beach State,,1979-11-06,
6,10,5,mooreje01w,F-C,75.0,175,Connecticut,,1982-07-09,
6,10,5,moorelo01w,G,69.0,165,Tennessee,,1983-03-21,
8,9,2,moorena01w,G,70.0,145,Alabama,,1984-11-04,
3,8,6,mooreta01w,G-F,71.0,167,Wisconsin,,1980-04-11,
3,3,1,moosca01w,F-C,78.0,182,Stanford,,1978-05-23,
8,10,3,mosbybe01w,F,73.0,172,Baylor,Florida,1984-02-14,
2,4,3,moweje01w,C,77.0,236,Oregon,,1978-02-25,
1,1,1,mulitna01w,C,75.0,207,Stanford,,1976-03-06,
8,10,3,murphsh01w,G,71.0,164,USC,,1985-04-15,
1,3,3,nagyan01w,G,67.0,147,Florida International,,1971-11-16,
10,10,1,nanch01w,C,78.0,204,,,1983-01-06,
1,8,8,ndiayas01w,F-C,75.0,182,Southern Nazarene,,1973-11-05,
7,7,1,ndongem01w,C,74.0,170,,,1983-04-25,
1,2,2,nemcoev01w,F,74.0,178,,,1972-12-03,
1,3,3,nevescl01w,G,68.0,136,,,1975-02-17,
6,10,5,newtoch01w,G,71.0,154,Rutgers,,1983-02-17,
7,7,1,ngarsch01w,C,75.0,168,Missouri,,1983-06-23,
3,9,7,ngoyibe01w,C,76.0,195,,,1982-08-26,
6,6,1,nieuwma01w,C,77.0,180,Valparaiso,,1980-04-12,
9,9,1,nnamach01w,G,72.0,156,Georgia Tech,,1985-06-15,
2,10,9,nolande01w,G-F,69.0,147,Georgia,,1979-08-25,
1,4,4,nygaava01w,F,73.0,166,Stanford,,1975-03-13,
9,9,1,ogayu01w,G,66.0,140,,,1982-10-17,
5,10,6,ohldeni01w,F-C,77.0,190,Kansas State,,1982-03-13,
9,9,1,oneilkr01w,G-F,73.0,158,Washington,,1983-04-12,
7,7,1,osipoir01w,C,77.0,190,,,1981-06-25,
1,1,1,owenhe01w,F,77.0,212,Stanford,,1976-05-06,
1,3,3,owenssh01w,C,74.0,175,Kentucky,,1978-05-16,
9,9,1,pageda01w,F,74.0,179,Nebraska,,1986-11-14,
1,9,9,pagemu01w,F,74.0,160,Florida,,1975-09-18,
6,6,1,paigeyo01w,G,66.0,147,West Virginia,,1983-09-18,
7,7,1,paliesa01w,G,67.0,159,,,1981-07-23,
1,8,8,palmewe01w,F,74.0,165,Virginia,,1974-08-12,
10,10,1,parisco01w,C,76.0,250,Oklahoma,,1987-09-21,
9,10,2,parkeca01w,F,76.0,175,Tennessee,,1986-04-19,
9,9,1,pascafl01w,C,76.0,187,,,1982-01-19,
2,4,3,pavlimi01w,F-C,75.0,175,Denver,,1977-11-27,
1,3,3,payeka01w,G,68.0,150,Stanford,,1974-03-06,
1,10,10,penicti01w,G,71.0,145,Old Dominion,,1974-09-18,
4,5,2,pennjo01w,F,72.0,160,South Carolina,,1979-09-10,
5,10,6,perkiji01w,G,68.0,155,Texas Tech,,1982-02-23,
1,7,7,pettibr01w,G,69.0,150,Florida,,1971-01-01,
7,10,4,philler01w,G,67.0,162,,,1985-05-19,
1,8,8,phillta01w,F-C,74.0,200,Central Florida,,1969-03-06,
4,10,7,pierspl01w,F-C,74.0,181,Texas Tech,,1981-08-30,
7,10,4,pondeca01w,G,69.0,160,Rutgers,,1983-01-07,
1,1,1,potthan01w,F,73.0,191,Penn State,,1974-06-12,
1,9,9,powelel01w,G,68.0,150,Louisiana State,,1975-08-09,
5,10,6,powelni01w,F,74.0,175,Stanford,,1982-06-22,
8,10,3,pricear01w,G-F,69.0,133,Mississippi,,1985-04-03,
1,4,4,pridely01w,G-F,74.0,180,Kansas,,1978-10-16,
9,10,2,pringla01w,F-C,75.0,162,North Carolina,,1986-09-11,
7,9,3,queenbr01w,F,74.0,185,Boston College,,1984-04-10,
9,10,2,quiglal01w,G,70.0,140,DePaul,,1986-06-20,
8,10,3,quinnno01w,G,72.0,175,UCLA,,1985-01-03,
1,1,1,quinnte01w,F,76.0,165,Seton Hall,,1974-09-07,
2,2,1,radunha01w,C,75.0,187,,,1978-01-10,
3,6,4,raglafe01w,G,67.0,133,Oregon State,,1980-02-03,
